P1SigVar,P1SigCrestFactor,P1SigMAD,P2SigVar,P2SigSkewness,P2SigMAD,P3SigVar,P3SigSkewness,P3SigMAD,PistSigVar,PistSigPeak,PistSigPeak2Peak,PistSigMAD,fault_type
534050261.3,1.00095976,20295.79428,32130700000000.0,-1.32090617,4699123.968,32153800000000.0,-1.320042309,4701514.391,0.026022192,0.474137935,0.474137935,0.133749978,2
338129825.6,1.00067252,15468.84645,28580800000000.0,-1.594134082,4216239.666,28598900000000.0,-1.593396622,4218159.298,0.01135452,0.332092208,0.332092208,0.084049063,0
338174308.2,1.000672534,15470.06839,28581800000000.0,-1.594055906,4216376.536,28599900000000.0,-1.593318414,4218297.515,0.011357203,0.332125609,0.332125609,0.084060277,0
181288924.8,1.000675266,11867.59863,28457700000000.0,-1.311925215,4374175.297,28473600000000.0,-1.311387554,4375741.581,0.011389429,0.333333341,0.333333341,0.087514832,1
338218920.5,1.000672656,15471.29329,28582800000000.0,-1.593977722,4216513.412,28600900000000.0,-1.593240198,4218435.736,0.011359887,0.332159063,0.332159063,0.084071492,0
536952686.5,1.000963922,20360.19473,32173400000000.0,-1.317625455,4704857.529,32196600000000.0,-1.316759853,4707259.591,0.026282902,0.47619048,0.47619048,0.134493131,2
338263503.3,1.00067269,15472.51705,28583800000000.0,-1.593899531,4216650.287,28601900000000.0,-1.593161976,4218573.958,0.011362572,0.332192487,0.332192487,0.08408271,0
401928041.5,1.000767956,17157.87259,29906600000000.0,-1.491388145,4397787.619,29926500000000.0,-1.490607155,4399876.986,0.015500567,0.379310352,0.379310352,0.100135131,2
338308007.2,1.000672746,15473.73843,28584800000000.0,-1.593821333,4216787.16,28602900000000.0,-1.593083746,4218712.177,0.011365258,0.332225925,0.332225925,0.08409393,0
539881774.5,1.0009681,20424.98427,32216300000000.0,-1.314331126,4710638.964,32239500000000.0,-1.313463769,4713041.084,0.026547307,0.478260874,0.478260874,0.135243788,2
175803557.4,1.000675274,11703.67697,28484600000000.0,-1.293277094,4386699.639,28500300000000.0,-1.292750751,4388247.436,0.01140012,0.333333341,0.333333341,0.087764949,1
338352625.2,1.000672878,15474.96235,28585800000000.0,-1.593743127,4216924.25,28603900000000.0,-1.593005509,4218850.4,0.011367945,0.3322594,0.3322594,0.084105153,0
170227184.5,1.000675293,11532.25846,28513200000000.0,-1.273632637,4399685.133,28528800000000.0,-1.27311798,4401210.073,0.011411507,0.333333341,0.333333341,0.088024201,1
542837931.8,1.000972329,20490.38294,32259400000000.0,-1.31102306,4716413.251,32282600000000.0,-1.310153935,4718826.907,0.026815475,0.480349349,0.480349349,0.136001125,2
545821330.7,1.000976595,20556.10786,32302600000000.0,-1.307701133,4722236.09,32325900000000.0,-1.306830226,4724649.871,0.027087475,0.482456145,0.482456145,0.13676618,2
338397284.5,1.000672873,15476.18696,28586800000000.0,-1.593664914,4217062.443,28604900000000.0,-1.592927264,4218988.622,0.011370633,0.332292829,0.332292829,0.084116378,0
548832462.5,1.000980888,20622.16965,32345900000000.0,-1.304365216,4728051.851,32369300000000.0,-1.303492515,4730477.284,0.027363378,0.484581503,0.484581503,0.137538106,2
164552994.0,1.000675295,11352.71561,28543300000000.0,-1.252958001,4413084.669,28558600000000.0,-1.252455392,4414588.085,0.011423457,0.333333341,0.333333341,0.088291762,1
334601148.5,1.000674989,15332.84114,28584100000000.0,-1.59074629,4217657.821,28602200000000.0,-1.590008275,4219584.859,0.01144089,0.33333334,0.33333334,0.084391697,1
403724023.0,1.00077061,17203.58108,29941100000000.0,-1.48873163,4402501.096,29961100000000.0,-1.487949454,4404601.535,0.015626055,0.380622845,0.380622845,0.100589516,2
158790923.7,1.000675306,11164.76546,28574500000000.0,-1.231206384,4426853.029,28589600000000.0,-1.230716176,4428333.321,0.011435858,0.333333339,0.333333339,0.088566666,1
152932826.9,1.000675314,10967.70473,28606300000000.0,-1.208339422,4440925.358,28621300000000.0,-1.207861955,4442380.865,0.011448506,0.333333341,0.333333341,0.088847617,1
146989341.3,1.00067533,10761.20041,28638200000000.0,-1.184310642,4455227.848,28653000000000.0,-1.183846247,4456656.905,0.011461181,0.333333339,0.333333339,0.089133138,1
338441851.2,1.000672942,15477.40883,28587800000000.0,-1.593586694,4217200.636,28605900000000.0,-1.592849013,4219126.845,0.011373322,0.332326293,0.332326293,0.084127605,0
140953399.3,1.000675341,10544.47408,28669300000000.0,-1.159077382,4469654.927,28683900000000.0,-1.158626375,4471055.8,0.011473567,0.333333341,0.333333341,0.089421116,1
338486497.6,1.00067307,15478.63237,28588800000000.0,-1.593508466,4217338.831,28606900000000.0,-1.592770754,4219265.07,0.011376011,0.332359787,0.332359787,0.084138834,0
551871618.1,1.000985227,20688.5747,32389500000000.0,-1.301015183,4733916.031,32412900000000.0,-1.300140672,4736341.433,0.027643257,0.486725668,0.486725668,0.138317936,2
554939300.2,1.000989604,20755.66515,32433200000000.0,-1.297650902,4739774.33,32456700000000.0,-1.296774568,4742211.389,0.027927185,0.488888893,0.488888893,0.139104867,2
134833849.5,1.000675352,10317.06343,28698900000000.0,-1.132594847,4484075.483,28713200000000.0,-1.132157531,4485446.421,0.011485278,0.33333334,0.33333334,0.089708928,1
338531123.9,1.000673117,15479.85502,28589800000000.0,-1.593430232,4217477.025,28607900000000.0,-1.592692488,4219403.293,0.011378702,0.332393254,0.332393254,0.084150066,0
405533606.0,1.000773281,17249.57958,29975800000000.0,-1.486066531,4407228.747,29995800000000.0,-1.485283164,4409329.917,0.01575298,0.38194445,0.38194445,0.101047144,2
128626084.6,1.000675366,10078.19084,28725500000000.0,-1.104815674,4498349.717,28739600000000.0,-1.104392336,4499690.991,0.011495837,0.333333344,0.333333344,0.08999382,1
122336633.8,1.000675372,9827.215836,28747700000000.0,-1.075698554,4512271.775,28761500000000.0,-1.075289467,4513581.324,0.011504607,0.333333342,0.333333342,0.090271626,1
115963351.3,1.000675384,9563.311016,28763600000000.0,-1.045193797,4525632.058,28777100000000.0,-1.04479922,4526905.874,0.011510858,0.33333334,0.33333334,0.090538117,1
338575723.2,1.000673146,15481.07661,28590800000000.0,-1.59335199,4217615.218,28608900000000.0,-1.592614215,4219541.516,0.011381393,0.332426722,0.332426722,0.0841613,0
338620368.2,1.000673272,15482.29899,28591800000000.0,-1.593273741,4217753.413,28609900000000.0,-1.592535934,4219679.741,0.011384086,0.332460237,0.332460237,0.084172536,0
338664943.5,1.00067328,15483.51922,28592800000000.0,-1.593195485,4217891.607,28610900000000.0,-1.592457647,4219817.964,0.011386779,0.332493711,0.332493711,0.084183774,0
338709711.3,1.000673352,15484.74401,28593800000000.0,-1.593117221,4218029.806,28611900000000.0,-1.592379351,4219956.193,0.011389473,0.332527216,0.332527216,0.084195015,0
338754444.3,1.000673458,15485.96753,28594800000000.0,-1.593038951,4218168.002,28612900000000.0,-1.592301049,4220094.418,0.011392168,0.332560741,0.332560741,0.084206258,0
558035654.6,1.000994018,20823.20443,32477100000000.0,-1.294272241,4745679.429,32500600000000.0,-1.29339407,4748116.408,0.028215239,0.491071432,0.491071432,0.139899858,2
109510638.7,1.000675394,9285.689641,28770800000000.0,-1.013267039,4538133.761,28784000000000.0,-1.01288722,4539373.167,0.011513583,0.33333334,0.33333334,0.090787463,1
335563069.2,1.000668575,15397.88031,28523000000000.0,-1.598656002,4208301.708,28541000000000.0,-1.597920359,4210216.419,0.011200403,0.330165091,0.330165091,0.083403987,0
338799084.8,1.000673595,15487.18831,28595800000000.0,-1.592960673,4218306.2,28613900000000.0,-1.592222739,4220232.646,0.011394864,0.332594285,0.332594285,0.084217503,0
561161201.7,1.000998476,20891.1062,32521100000000.0,-1.290879067,4751581.196,32544700000000.0,-1.289999044,4754029.836,0.028507496,0.493273548,0.493273548,0.140702228,2
564316325.9,1.001002971,20959.37819,32565300000000.0,-1.287471244,4757526.87,32589000000000.0,-1.286589353,4759975.378,0.028804037,0.4954955,0.4954955,0.141512781,2
102978501.5,1.000675399,8993.474202,28766300000000.0,-0.979871608,4549458.442,28779100000000.0,-0.979506789,4550659.831,0.011511649,0.333333339,0.333333339,0.091013197,1
96369644.67,1.000675418,8685.712199,28746200000000.0,-0.944988113,4559165.376,28758700000000.0,-0.944638531,4560326.168,0.011503487,0.33333334,0.33333334,0.091206523,1
89685919.56,1.000675428,8361.469579,28706200000000.0,-0.908585407,4566770.0,28718300000000.0,-0.908251314,4567889.263,0.011487324,0.333333339,0.333333339,0.091357785,1
82928511.3,1.000675442,8019.660115,28640100000000.0,-0.870676836,4571653.269,28651800000000.0,-0.870358499,4572726.952,0.011460729,0.333333342,0.333333342,0.091454539,1
76100788.61,1.000675457,7659.27178,28541000000000.0,-0.831280151,4573080.852,28552200000000.0,-0.83097789,4574107.641,0.011420867,0.333333341,0.333333341,0.091482153,1
69202892.06,1.000675464,7279.148698,28399200000000.0,-0.790484165,4570126.88,28409900000000.0,-0.790198376,4571103.887,0.011363961,0.33333334,0.33333334,0.091422078,1
